Precinct,Population_Total,Population_White,Population_Black,Population_Hispanic,White_Drug_Prev_Arrests,Black_Drug_Prev_Arrests,Hispanic_Drug_Prev_Arrests,White_Drug_Stops,Black_Drug_Stops,Hispanic_Drug_Stops,White_Weapon_Prev_Arrests,Black_Weapon_Prev_Arrests,Hispanic_Weapon_Prev_Arrests,White_Weapon_Stops,Black_Weapon_Stops,Hispanic_Weapon_Stops,White_Violent_Prev_Arrests,Black_Violent_Prev_Arrests,Hispanic_Violent_Prev_Arrests,White_Violent_Stops,Black_Violent_Stops,Hispanic_Violent_Stops,White_Property_Prev_Arrests,Black_Property_Prev_Arrests,Hispanic_Property_Prev_Arrests,White_Property_Stops,Black_Property_Stops,Hispanic_Property_Stops
90,97866,69288,12079,16499,1,1,1,0,0,1,1,6,1,0,9,5,1,1,1,0,7,2,2,12,14,4,15,10
94,54848,45245,3655,5948,1,1,1,0,0,0,3,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0
100,43398,26862,11233,5303,1,2,1,0,0,0,1,7,1,1,6,1,1,2,1,2,7,0,1,4,1,1,13,3
101,63474,16297,35080,12097,1,1,1,0,1,0,1,12,1,0,14,2,1,1,1,0,6,0,1,9,1,0,16,2
102,69834,27672,9981,32181,1,3,6,0,8,6,1,5,14,5,12,22,1,2,3,3,8,4,6,21,27,36,112,168
103,55505,2686,45602,7217,1,1,1,0,0,0,1,3,2,1,7,1,1,1,1,0,1,0,1,13,1,1,15,10
104,147735,94554,3195,49986,2,3,5,1,0,8,3,4,8,5,5,5,1,1,4,1,3,4,10,12,25,13,30,29
105,150271,23439,117410,9422,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,0,2,0,1,1,1,0,1,0
106,66883,30366,21690,14827,1,1,1,0,0,0,1,1,1,0,2,2,1,4,1,0,0,1,1,1,1,1,5,0
107,83368,50515,20161,12692,1,4,2,2,0,1,9,6,11,10,14,6,1,1,2,0,2,3,14,46,11,85,162,96
108,68407,35650,2464,30293,1,1,1,1,0,2,1,1,1,2,3,0,1,1,1,0,1,0,1,1,3,5,16,20
109,86530,63642,6213,16675,1,1,2,2,1,2,1,1,5,1,13,14,1,1,1,2,1,8,14,22,24,34,34,68
110,66736,11229,12710,42797,1,1,1,0,1,0,1,1,2,2,7,17,1,3,1,0,4,8,2,1,11,3,10,24
111,60422,50020,2575,7827,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1,3,1,3,7,7,5
112,72763,56706,3672,12385,1,1,1,0,0,1,1,1,1,4,1,0,1,1,2,2,4,3,1,5,7,37,44,33
113,114049,1448,110006,2595,1,1,1,0,1,0,1,1,1,0,7,2,1,1,1,0,2,0,1,6,1,1,7,0
114,137165,89519,19411,28235,1,7,1,0,1,0,4,4,4,1,10,0,1,2,1,0,4,1,3,16,11,0,11,7
115,82791,17738,11363,53690,1,1,1,0,0,0,1,2,1,1,9,24,1,1,1,3,7,31,1,2,6,2,24,46
120,90032,43985,27334,18713,3,13,2,16,82,21,1,21,5,8,134,18,1,4,1,9,28,7,3,36,4,60,251,66
121,97515,61461,16083,19971,1,1,1,0,2,1,3,4,1,2,10,0,1,1,1,0,1,0,4,6,4,3,12,3
122,120911,102714,4746,13451,1,1,1,27,5,7,2,1,1,11,8,6,1,1,1,1,9,2,11,1,1,197,64,64
123,96871,87356,1074,8441,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0
